id,title,origin,contest,year,label,hosts,url,mirror_urls,format,difficulty,difficulty_basis,difficulty_native,primary_tag,tags,free_tags,quality,canonical,constraints,editorial_url,added,verified
ccc-1996-s1,"Deficient, Perfect, and Abundant",ccc,CCC 1996 Senior,1996,S1,dmoj,https://dmoj.ca/problem/ccc96s1,,standard,2,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,simple-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1996-s2,Divisibility by 11,ccc,CCC 1996 Senior,1996,S2,dmoj,https://dmoj.ca/problem/ccc96s2,,standard,3,estimated,DMOJ 7p,math.algebra.modular_arithmetic,math.algebra.modular_arithmetic,intermediate-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1996-s3,Pattern Generator,ccc,CCC 1996 Senior,1996,S3,dmoj,https://dmoj.ca/problem/ccc96s3,,standard,4,estimated,DMOJ 5p,search.exhaustive.backtracking,search.exhaustive.backtracking,recursion|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1996-s4,When in Rome,ccc,CCC 1996 Senior,1996,S4,dmoj,https://dmoj.ca/problem/ccc96s4,,standard,6,estimated,DMOJ 10p,strings.matching.kmp,strings.matching.kmp,string-algorithms|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1996-s5,Maximum Distance,ccc,CCC 1996 Senior,1996,S5,dmoj,https://dmoj.ca/problem/ccc96s5,,standard,7,estimated,DMOJ 7p,math.algebra.modular_arithmetic,math.algebra.modular_arithmetic,intermediate-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1997-s1,Sentences,ccc,CCC 1997 Senior,1997,S1,dmoj,https://dmoj.ca/problem/ccc97s1,,standard,2,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-1997-s2,Nasty Numbers,ccc,CCC 1997 Senior,1997,S2,dmoj,https://dmoj.ca/problem/ccc97s2,,standard,3,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,simple-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1997-s3,Double Knockout Competition,ccc,CCC 1997 Senior,1997,S3,dmoj,https://dmoj.ca/problem/ccc97s3,,standard,4,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,simple-math|simulation|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1997-s4,Dynamic Dictionary Coding,ccc,CCC 1997 Senior,1997,S4,dmoj,https://dmoj.ca/problem/ccc97s4,,standard,6,estimated,DMOJ 5p,strings.matching.kmp,strings.matching.kmp,string-algorithms|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1997-s5,Long Division,ccc,CCC 1997 Senior,1997,S5,dmoj,https://dmoj.ca/problem/ccc97s5,,standard,7,estimated,DMOJ 10p,strings.matching.kmp,strings.matching.kmp,intermediate-math|string-algorithms|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1998-s1,Censor,ccc,CCC 1998 Senior,1998,S1,dmoj,https://dmoj.ca/problem/ccc98s1,,standard,2,estimated,DMOJ 5p,strings.matching.kmp,strings.matching.kmp,regular-expressions|string-algorithms|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1998-s2,Cross Number Puzzle,ccc,CCC 1998 Senior,1998,S2,dmoj,https://dmoj.ca/problem/ccc98s2,,standard,3,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,simple-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1998-s3,Mars Rover,ccc,CCC 1998 Senior,1998,S3,dmoj,https://dmoj.ca/problem/ccc98s3,,standard,4,estimated,DMOJ 7p,adhoc.simulation.direct,adhoc.simulation.direct,simulation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-1998-s4,Lottery,ccc,CCC 1998 Senior,1998,S4,dmoj,https://dmoj.ca/problem/ccc98s4,,standard,6,estimated,DMOJ 10p,strings.matching.kmp,strings.matching.kmp,recursion|string-algorithms|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1998-s5,Mountain Passage,ccc,CCC 1998 Senior,1998,S5,dmoj,https://dmoj.ca/problem/ccc98s5,,standard,7,estimated,DMOJ 10p,graphs.traversal.dfs,graphs.traversal.dfs,graph-theory|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1999-s1,Card Game,ccc,CCC 1999 Senior,1999,S1,dmoj,https://dmoj.ca/problem/ccc99s1,,standard,2,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,simulation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-1999-s2,Year 2000,ccc,CCC 1999 Senior,1999,S2,dmoj,https://dmoj.ca/problem/ccc99s2,,standard,3,estimated,DMOJ 7p,strings.matching.kmp,strings.matching.kmp,string-algorithms|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1999-s3,Divided Fractals,ccc,CCC 1999 Senior,1999,S3,dmoj,https://dmoj.ca/problem/ccc99s3,,standard,4,estimated,DMOJ 7p,adhoc.simulation.direct,adhoc.simulation.direct,simple-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1999-s4,A Knightly Pursuit,ccc,CCC 1999 Senior,1999,S4,dmoj,https://dmoj.ca/problem/ccc99s4,,standard,6,estimated,DMOJ 12p,graphs.traversal.dfs,graphs.traversal.dfs,dynamic-programming|graph-theory|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-1999-s5,Letter Arithmetic,ccc,CCC 1999 Senior,1999,S5,dmoj,https://dmoj.ca/problem/ccc99s5,,standard,7,estimated,DMOJ 12p,search.exhaustive.backtracking,search.exhaustive.backtracking,recursion|via-dmoj-category,,,,,2026-09-19,2026-09-19
